id,sentence,flesch_reading_ease,polysyllable_count,coleman_liau_index,freqlemfilms2_mean,freqlemfilms2_median,freqlemfilms2_max,freqlemfilms2_min,freqlemfilms2_25%,freqlemfilms2_75%,freqlemlivres_mean,freqlemlivres_median,freqlemlivres_max,freqlemlivres_min,freqlemlivres_25%,freqlemlivres_75%,freqfilms2_mean,freqfilms2_median,freqfilms2_max,freqfilms2_min,freqfilms2_25%,freqfilms2_75%,nblettres_mean,nblettres_median,nblettres_max,nblettres_min,nblettres_25%,nblettres_75%,nbsyll_mean,nbsyll_median,nbsyll_max,nbsyll_min,nbsyll_25%,nbsyll_75%
0,Nous dûmes nous excuser des propos que nous eûmes prononcés,86.45,2,10.24,4181.733,4436.51,13572.4,24.99,1107.535,4772.12,3354.325,3591.895,10624.93,61.82,409.255,3867.84,2386.203,1723.045,6055.71,0.04,11.2625,4772.12,5.0,4.5,9.0,3.0,4.0,5.75,1.5,1.0,3.0,1.0,1.0,1.75
1,Vous ne pouvez pas savoir le plaisir que j'ai de recevoir cette bonne nouvelle.,89.75,1,8.63,7940.903571428571,4308.805,25220.86,64.31,533.1575,13636.995,6793.3892857142855,2490.24,38928.92,2.91,372.8025,7473.1449999999995,6501.914285714285,1240.6,25220.86,37.2,221.4075,13531.532500000001,4.428571428571429,4.5,8.0,1.0,2.25,6.0,1.4285714285714286,1.0,3.0,1.0,1.0,2.0
2,"Et, paradoxalement, boire froid n'est pas la bonne parade.",80.11,1,10.58,5342.156666666666,339.05,18188.15,0.22,9.67,12909.08,6062.282222222221,274.32,23633.92,3.78,11.22,8795.14,5208.655555555555,142.15,18188.15,0.22,9.67,12909.08,4.777777777777778,5.0,14.0,1.0,2.0,5.0,1.6666666666666667,1.0,6.0,1.0,1.0,1.0
3,"Ce n'est pas étonnant, car c'est une saison mystérieuse",94.83,1,9.31,3515.7322222222224,31.95,18188.15,8.21,19.61,5219.1,2440.006666666666,53.65,9587.97,4.73,30.0,2958.58,3513.4422222222224,28.72,18188.15,6.56,9.67,5219.1,4.222222222222222,3.0,11.0,1.0,2.0,6.0,1.5555555555555556,1.0,3.0,1.0,1.0,2.0
4,"Le corps de Golo lui-même, d'une essence aussi surnaturelle que celui de sa monture, s'arrangeait de tout obstacle matériel, de tout objet gênant qu'il rencontrait en le prenant comme ossature et en se le rendant intérieur, fût-ce le bouton de la porte sur lequel s'adaptait aussitôt et surnageait invinciblement sa robe rouge ou sa figure pâle toujours aussi noble et aussi mélancolique, mais qui ne laissait paraître aucun trouble de cette transvertébration.",8.8,12,14.3,5236.215138888889,1174.3249999999998,32236.5,0.01,38.31,5559.81,7082.579861111111,1359.86,38928.92,1.22,92.4,8125.5725,4592.712083333334,983.1650000000001,25220.86,0.0,21.875,5250.57,4.625,4.0,14.0,1.0,2.0,6.25,1.5555555555555556,1.0,5.0,1.0,1.0,2.0
5,"Elle jeta un cri, un petit cri, voulut se dresser, se débattre, le repousser ; puis elle céda, comme si la force lui eût manqué pour résister plus longtemps.",75.54,2,8.3,3959.1675000000005,1841.585,18559.22,8.63,125.36500000000001,4702.7225,4809.074642857144,1591.0500000000002,23633.92,26.42,187.08249999999998,6688.700000000001,3069.2928571428565,432.04,14946.48,0.39,14.75,4176.969999999999,4.357142857142857,4.0,9.0,2.0,2.75,5.25,1.4285714285714286,1.0,3.0,1.0,1.0,2.0
6,"Madame, Monsieur, Votre fils Léo arrive tous les jours en retard à l'école.",90.77,0,8.16,2957.4150000000004,1157.17,12190.4,78.26,436.9525,3633.9825,4091.2058333333334,575.475,19209.05,3.92,236.59249999999997,4561.655,2656.1308333333336,554.2750000000001,12190.4,78.26,382.355,2842.9875,4.25,4.5,8.0,1.0,2.75,6.0,1.3333333333333333,1.0,2.0,1.0,1.0,2.0
7,Comment tu as trouvé le repas de ce midi,94.83,0,1.59,8810.137777777778,5219.1,25220.86,35.19,558.33,14661.76,8543.904444444444,2537.03,38928.92,68.38,241.35,12800.81,6875.547777777778,2144.15,25220.86,35.15,339.29,13652.76,3.5555555555555554,2.0,7.0,2.0,2.0,5.0,1.4444444444444444,1.0,2.0,1.0,1.0,2.0
8,"Mais la racine du mal est bel est bien cette façon de penser tendant vers un manichéisme néfaste, néfaste car le respect des opinions divergentes et le débat s'estompent au profit de l'extrémisme et l'uniformisme de la pensée",50.67,4,11.38,6942.067631578948,969.71,32236.5,0.0,34.995000000000005,12909.08,8469.237631578948,912.9749999999999,38928.92,0.61,33.2425,15085.47,6228.805,345.575,25220.86,0.0,27.525,12909.08,4.052631578947368,3.0,11.0,1.0,2.0,6.0,1.4473684210526316,1.0,4.0,1.0,1.0,2.0
9,"Je ne peux pas vous laisser dire cela, Madame.",102.19,0,4.14,10405.946666666667,5946.15,25983.2,307.36,1334.1,18188.15,5144.008888888889,3507.16,13841.89,203.45,851.55,8795.14,8379.043333333335,1743.78,25983.2,243.13,492.56,13589.7,4.0,4.0,7.0,2.0,3.0,4.0,1.3333333333333333,1.0,2.0,1.0,1.0,2.0
10,Est-ce que ça suffit?,107.26,0,0.0,10144.448,5219.1,32236.5,232.08,4100.9,8933.66,4799.406,2958.58,15085.47,159.39,2477.64,3315.95,7417.886,5219.1,19417.69,188.1,3330.88,8933.66,3.2,3.0,6.0,2.0,2.0,3.0,1.2,1.0,2.0,1.0,1.0,1.0
11,Tu as rempli le pot d'eau et tu as mis des glaçons.,106.5,0,0.22,8351.460000000001,9482.395,18559.22,7.4,59.5775,14661.76,6809.409166666667,2537.03,20879.73,2.97,73.075,12800.81,5546.696666666668,2144.15,14661.76,5.85,47.44,13095.0,2.9166666666666665,2.0,7.0,1.0,2.0,3.0,1.1666666666666667,1.0,2.0,1.0,1.0,1.0
12,"Pourtant, sur cette distance, le vélo est le mode de transport le plus performant en milieu urbain et semi-urbain.",77.32,2,10.79,6289.599499999999,999.035,32236.5,0.52,28.755,13095.0,7601.109000000002,1348.1799999999998,38928.92,0.41,26.877499999999998,15891.84,5647.5335000000005,999.035,25220.86,0.48,22.8625,13095.0,4.6,4.0,10.0,2.0,2.0,6.0,1.5,1.0,3.0,1.0,1.0,2.0
13,"Jeune retraité de l'éducation nationale, Roger Rougier a sa réponse",57.01,2,13.72,5690.891250000001,187.635,25220.86,21.43,38.24,5597.0225,7022.61875,333.615,38928.92,3.92,31.98,5999.525,4154.9425,156.58,25220.86,18.59,34.082499999999996,2544.9449999999997,3.75,2.0,9.0,1.0,1.75,5.75,1.375,1.0,3.0,1.0,1.0,1.25
14,Un enfant est drôle.,107.26,0,0.0,11301.0475,6411.6050000000005,32236.5,144.48,587.8125,17124.84,7364.225,7138.18,15085.47,95.07,568.0274999999999,13934.3775,7982.7575,6187.4400000000005,19417.69,138.46,250.06,13920.1375,4.0,4.0,6.0,2.0,2.75,5.25,1.25,1.0,2.0,1.0,1.0,1.25
15,"Le jeudi est comme le mardi, on ne fait qu'aller à l'école",99.14,0,3.12,10022.091666666667,8699.939999999999,32236.5,22.07,65.2175,14879.375,7666.001666666667,5083.6849999999995,18310.95,1.55,21.7025,14152.785,6686.909166666667,4551.45,19417.69,22.07,64.84,13430.962500000001,2.8333333333333335,2.0,5.0,1.0,2.0,4.25,1.1666666666666667,1.0,2.0,1.0,1.0,1.0
16,"En tombant, certains arbres ont écrasé des structures, ont écrasé d'autres arbres",91.78,0,14.2,4138.739166666667,81.69,18559.22,8.74,54.615,5781.1875,3842.605833333333,208.58,12800.81,2.97,90.81,9205.66,1172.935,43.54,6055.71,0.93,10.97,1063.32,5.083333333333333,6.0,10.0,1.0,3.0,6.25,1.5833333333333333,1.0,3.0,1.0,1.0,2.0
17,Je dois acheter un tube de peinture bleue pour finir ce tableau.,99.14,0,6.95,6653.155000000002,1895.0900000000001,25983.2,17.4,65.485,8330.817500000001,6230.7891666666665,868.075,38928.92,20.47,133.785,7364.3724999999995,6399.4325,504.98,25983.2,12.16,34.8075,8330.817500000001,4.333333333333333,4.0,8.0,2.0,2.0,5.5,1.4166666666666667,1.0,3.0,1.0,1.0,2.0
18,"Elle s'appelle Joy, on parlait de tout, on s'entendait super bien !",85.44,1,8.45,5438.861,3092.165,25220.86,38.31,380.7825,7569.9325,6089.366,2087.165,38928.92,7.09,282.4,4838.38,5246.243,2636.21,25220.86,38.31,71.985,7569.9325,3.2,3.0,7.0,1.0,2.0,4.0,1.2,1.0,2.0,1.0,1.0,1.0
19,"Elle a trois enfants, deux garçons et une fille.",109.55,0,5.42,5235.016666666666,1009.01,18559.22,251.51,735.59,7907.85,6006.517777777777,1557.91,20879.73,262.5,660.34,9587.97,3801.9099999999994,1009.01,12909.08,63.09,448.33,6350.91,4.222222222222222,4.0,7.0,1.0,3.0,5.0,1.2222222222222223,1.0,2.0,1.0,1.0,1.0
20,"Et, dans le mirage confus où s'égaraient ses espérances, espérances de grandeur, de succès, de renommée, de fortune et d'amour, il aperçut tout à coup, pareille à ces guirlandes de figurantes qui se déroulent dans le ciel des apothéoses, une procession de femmes élégantes, riches, puissantes, qui passaient en souriant pour disparaître l'une après l'autre au fond du nuage doré de ses rêves.",32.66,7,12.49,5336.9228571428575,757.68,25220.86,0.49,36.435,6567.13,8079.920317460317,995.74,38928.92,2.97,43.58,9160.27,5274.307142857143,389.49,25220.86,0.0,7.595000000000001,6567.13,4.634920634920635,4.0,11.0,1.0,2.0,7.0,1.507936507936508,1.0,4.0,1.0,1.0,2.0
21,"Si six scies scient six cyprès, six cent six scies scient six cent six cyprès !",110.82,0,6.08,145.76866666666666,43.05,1374.43,0.52,5.1850000000000005,117.37,146.60066666666668,135.41,933.99,8.51,9.965,156.22,144.4126666666667,43.05,1374.43,0.05,0.335,117.37,4.133333333333334,4.0,6.0,2.0,3.0,5.5,1.1333333333333333,1.0,2.0,1.0,1.0,1.0
22,La sixième Semaine pour l'emploi en leur faveur entend les combattre.,85.44,0,11.58,3445.4545454545455,290.85,14946.48,3.77,60.575,6384.115,4968.206363636364,427.5,23633.92,3.92,33.985,7465.405,3370.406363636364,186.01,14946.48,3.76,36.43,6384.115,4.636363636363637,4.0,9.0,1.0,2.5,6.5,1.4545454545454546,1.0,2.0,1.0,1.0,2.0
23,Des sanctions administratives et des ordonnances pénales sont possibles si des nouveaux détenteurs de chiens renoncent à suivre la formation ou à l'achever.,58.54,5,16.31,5813.004782608695,1374.43,32236.5,0.67,28.025,9123.055,7558.3095652173915,933.99,38928.92,1.55,17.905,12855.2,4360.857826086955,78.26,25220.86,0.2,4.640000000000001,6055.71,5.434782608695652,4.0,15.0,1.0,2.0,9.0,1.6521739130434783,1.0,5.0,1.0,1.0,2.0
